url,intent,recommended_action,target,notes
https://www.iqmindware.com/,commercial_home,keep_update,https://www.iqmindware.com/,Primary route refresh
https://www.iqmindware.com/app,legacy_commercial,301,https://www.iqmindware.com/tools/,Obsolete app listing route
https://www.iqmindware.com/membership,legacy_pricing,301,https://www.iqmindware.com/pricing/,Pricing consolidated
https://www.iqmindware.com/refund-policy,policy,301,https://www.iqmindware.com/refunds/,Policy route normalization
https://www.iqmindware.com/about,about,keep_update,https://www.iqmindware.com/about/,Keep intent with updated boundaries
https://www.iqmindware.com/insights,educational,keep_update,https://www.iqmindware.com/learn/blog/,Preserve learn intent
https://www.iqmindware.com/g-tracker-validation,validation_intent,301,https://www.iqmindware.com/proof/g-tracker/,Dedicated mapping
https://www.iqmindware.com/trident-brain-training/intelligence-research/the-bell-curve-cognitive-elites/,educational_article,301,https://www.iqmindware.com/learn/blog/the-bell-curve-cognitive-elites/,Intent-equivalent article mapping
https://www.iqmindware.com/intelligence-trackers/iq-tests/how-to-do-a-raven-matrices-test/,educational_article,301,https://www.iqmindware.com/learn/blog/how-to-do-a-raven-matrices-test/,Intent-equivalent article mapping
https://www.iqmindware.com/improve-executive-control/capacity-training/training-strategies/,educational_article,301,https://www.iqmindware.com/learn/blog/dual-n-back-training-strategies/,Intent-equivalent article mapping
https://www.iqmindware.com/wiki/what-is-an-iq-score-what-does-my-iq-score-mean/,educational_wiki,301,https://www.iqmindware.com/learn/wiki/what-does-my-iq-score-mean/,Intent-equivalent wiki mapping
https://www.iqmindware.com/123-sigma-rule/,educational_article,301,https://www.iqmindware.com/learn/blog/123-sigma-rule/,Intent-equivalent article mapping
https://www.iqmindware.com/increase-cognitive-resilience/emotional-dual-n-back-science/,educational_article,301,https://www.iqmindware.com/learn/blog/emotional-dual-n-back-science/,Intent-equivalent article mapping
https://www.iqmindware.com/trident-brain-training/intelligence-research/jordan-peterson-iq/,educational_article,301,https://www.iqmindware.com/learn/blog/jordan-peterson-iq/,Intent-equivalent article mapping
https://www.iqmindware.com/brain-training-plan/,legacy_pricing,301,https://www.iqmindware.com/pricing/,Pricing route normalization
https://www.iqmindware.com/mark-ashton-smith-ph-d/,legacy_profile,301,https://www.iqmindware.com/about/,Profile route consolidation
https://www.iqmindware.com/iq-mindware-about/,legacy_about,301,https://www.iqmindware.com/about/,About route consolidation
